,Id,TopicId,Topic,Title,Content,Description,UrlComment,PublishedDate,SentimentAI,SentimentQC,Tỉ lệ,SiteName,SiteId,Channel,Author,AuthorId,UrlTopic,ParentId,Labels1,Labels2,Labels3,Labels4,Type,Level,Caption,Tags,Labels,Verify Sentiment
6649,7588742267129564423_7588841577180939009,6929256661fe19430ca50d22,Vinfast,Thời điểm hiện tại chi phí vận hành con vf3 còn rẻ hơn con xe máy. #vinfastvf3 #vinfast #xuhuong #vf3,bảo hành 8 năm. 8 năm sau mình mua xe khác rồi bạn.,bóc pin xe vf,https://www.tiktok.com/@vf3.kh.nht.th.gii/video/7588742267129564423?cid=NzU4ODg0MTU3NzE4MDkzOTAwOQ,28/12/2025,Negative,Neutral,AI sai,vf3.kh.nht.th.gii,7585524402411242504,Tiktok,6 phút lịch sử,6phutlichsu,https://www.tiktok.com/@vf3.kh.nht.th.gii/video/7588742267129564423?cid=NzU4ODg0MTU3NzE4MDkzOTAwOQ,7585524402411242504_7588742267129564423,,,,,tiktokComment,,"Văn bản đề cập 'vinfast' và 'vf3', có cảm xúc tiêu cực liên quan đến pin xe.",,,neutral
6657,7588122869167754517_7588567424673399559,6929256661fe19430ca50d22,Vinfast,Ai lái thử VF3 rồi thì bình luận minh oan cho ẻm đi ạ🫰🏻 #xuhuong #fyp #vf3 #vinfast #car,"Vf3 lgi có phanh tay a? Giữ phanh chân, lúc nhả phanh ra để đi thì nó tự trôi đó. Trôi khoảng 50 phân rồi mới tự đi. Nhiều xe bị a ạ. E hỏi nhưng mng cũng kbiet cách khắc phục nên mới hỏi. E mới mua thêm vf3 để đi chợ thôi",,https://www.tiktok.com/@vinfast.caron.gl/video/7588122869167754517?cid=NzU4ODU2NzQyNDY3MzM5OTU1OQ,27/12/2025,Negative,Neutral,AI sai,vinfast.caron.gl,7584218575667233799,Tiktok,Thầy bói chạy show 🇻🇳🇰🇷,heunni.tarot,https://www.tiktok.com/@vinfast.caron.gl/video/7588122869167754517?cid=NzU4ODU2NzQyNDY3MzM5OTU1OQ,7584218575667233799_7588122869167754517,,,,,tiktokComment,,"Văn bản đề cập 'vinfast' và VF3, thể hiện sự lo lắng về lỗi kỹ thuật.",,,neutral
6658,7588125360265661717_7588661044882572053,6929256661fe19430ca50d22,Vinfast,Riêng tui chắc xếp hàng đợi từ 3h sáng luôn. May là xe điện chờ cũng nhanh cá bác nhỉ #thomvinfast #vinfast #otodienvinfast #yeuxedien,Nếu mua xe tôi k mua vin tôi sợ cách bảo hành quá,"vinfast xe điện,xe máy điện vinfast",https://www.tiktok.com/@vinfastvinhphuc7/video/7588125360265661717?cid=NzU4ODY2MTA0NDg4MjU3MjA1Mw,28/12/2025,Positive,Negative,AI sai,vinfastvinhphuc7,7543158929657742337,Tiktok,Oằn Tà Là Vằn,oidoioi822,https://www.tiktok.com/@vinfastvinhphuc7/video/7588125360265661717?cid=NzU4ODY2MTA0NDg4MjU3MjA1Mw,7543158929657742337_7588125360265661717,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast với cảm xúc tích cực, thể hiện sự mong đợi và hài lòng.",,,neutral
6659,7587974649598758164_7588156613384553224,6929256661fe19430ca50d22,Vinfast,Vinfast - Hãng xe điện top 1 VN #otodien #otodienvinfast #vinfast #xuhuongtiktok #xuhuong,vin bây giờ đc ae dịch vụ chuộng lắm. gia đình thì ít chứ taxi đa số vin,,https://www.tiktok.com/@dunguytin341/video/7587974649598758164?cid=NzU4ODE1NjYxMzM4NDU1MzIyNA,26/12/2025,Neutral,Positive,AI sai,dunguytin341,7554048278292841490,Tiktok,NoName,noname12356789,https://www.tiktok.com/@dunguytin341/video/7587974649598758164?cid=NzU4ODE1NjYxMzM4NDU1MzIyNA,7554048278292841490_7587974649598758164,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast, thể hiện sự chuộng của dịch vụ taxi, cảm xúc trung tính.",,,neutral
6660,7587974649598758164_7588813627332477714,6929256661fe19430ca50d22,Vinfast,Vinfast - Hãng xe điện top 1 VN #otodien #otodienvinfast #vinfast #xuhuongtiktok #xuhuong,Toàn dịch vụ tự hào cL,,https://www.tiktok.com/@dunguytin341/video/7587974649598758164?cid=NzU4ODgxMzYyNzMzMjQ3NzcxNA,28/12/2025,Positive,Negative,AI sai,dunguytin341,7554048278292841490,Tiktok,You,ben.c.m8,https://www.tiktok.com/@dunguytin341/video/7587974649598758164?cid=NzU4ODgxMzYyNzMzMjQ3NzcxNA,7554048278292841490_7587974649598758164,,,,,tiktokComment,,Văn bản đề cập trực tiếp đến Vinfast và thể hiện cảm xúc tích cực về hãng xe.,,,neutral
6665,7588742267129564423_7588880287313183496,6929256661fe19430ca50d22,Vinfast,Thời điểm hiện tại chi phí vận hành con vf3 còn rẻ hơn con xe máy. #vinfastvf3 #vinfast #xuhuong #vf3,pin bảo hành 8 năm ko giới hạn số km. mỗi năm người ta tiết kiệm dc 5-60tr. 8 năm tính ra là tiết kiệm dc bao nhiêu quả pin?,bóc pin xe vf,https://www.tiktok.com/@vf3.kh.nht.th.gii/video/7588742267129564423?cid=NzU4ODg4MDI4NzMxMzE4MzQ5Ng,28/12/2025,Positive,Neutral,AI sai,vf3.kh.nht.th.gii,7585524402411242504,Tiktok,Quân Vũ,usera5kt1h4air,https://www.tiktok.com/@vf3.kh.nht.th.gii/video/7588742267129564423?cid=NzU4ODg4MDI4NzMxMzE4MzQ5Ng,7585524402411242504_7588742267129564423,,,,,tiktokComment,,"Văn bản đề cập đến 'vinfast' và 'vf3', thể hiện cảm xúc tích cực về chi phí và bảo hành.",,,neutral
6668,7587649349719510279_7588168900308222737,6929256661fe19430ca50d22,Vinfast,"Kiếp nạn xe Điện Vin Phét, VF3, Bạn có hối hận không ? #vinfast #vinfastvf3","Thắc mắc 1 điều , là sao toàn thấy xe xăng , dầu cứu hộ , hoặc xe gắn máy đẩy xe điện , sao kg có xe điện cứu hộ xe điện nhỉ ?",,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODE2ODkwMDMwODIyMjczNw,26/12/2025,Negative,Neutral,AI sai,memut1706,6769763228617884673,Tiktok,Lương Quốc Hùng,user.012016,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODE2ODkwMDMwODIyMjczNw,6769763228617884673_7587649349719510279,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện cảm xúc tiêu cực về xe điện Vinfast.,,,neutral
6670,7588742267129564423_7588908528304866049,6929256661fe19430ca50d22,Vinfast,Thời điểm hiện tại chi phí vận hành con vf3 còn rẻ hơn con xe máy. #vinfastvf3 #vinfast #xuhuong #vf3,"pin nó bảo hành 7 8 năm, pin chai dưới 70% đc bh thay miễn phí, mày có nghe thấy ko hay bị điếc",bóc pin xe vf,https://www.tiktok.com/@vf3.kh.nht.th.gii/video/7588742267129564423?cid=NzU4ODkwODUyODMwNDg2NjA0OQ,28/12/2025,Negative,Neutral,AI sai,vf3.kh.nht.th.gii,7585524402411242504,Tiktok,duy anh,user20453352984878,https://www.tiktok.com/@vf3.kh.nht.th.gii/video/7588742267129564423?cid=NzU4ODkwODUyODMwNDg2NjA0OQ,7585524402411242504_7588742267129564423,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự lo ngại về pin xe VF3.",,,neutral
6671,7588069322237529351_7588189552142910226,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"khi hết bảo hành mà phải thay pin thì hãng sẽ thu lại pin cũ giá 20-30% của pin mới anh nhé, và yên tâm là bảo hành dài hạn 8-10 năm",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE4OTU1MjE0MjkxMDIyNg,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE4OTU1MjE0MjkxMDIyNg,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện lo ngại về chi phí thay pin sau bảo hành.,,,neutral
6672,7588069322237529351_7588150228022706952,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"điện lên x4 giá hiện nay thì sử dụng đi lại bằng nhau ạ, còn bảo dưỡng thì xe điện vẫn rẻ hơn",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE1MDIyODAyMjcwNjk1Mg,26/12/2025,Neutral,Positive,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE1MDIyODAyMjcwNjk1Mg,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập đến 'vinfast' và thảo luận về việc mua xe điện, có yếu tố so sánh giá.",,,neutral
6673,7588069322237529351_7588146674120426258,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,hết miễn phí sạc chi phí sử dụng vẫn rẻ gấp 4 lần xe xăng tính cả bảo dưỡng ạ,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE0NjY3NDEyMDQyNjI1OA,26/12/2025,Negative,Positive,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE0NjY3NDEyMDQyNjI1OA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện sự không hài lòng về việc hết miễn phí sạc.,,,neutral
6674,7588069322237529351_7588152399388328722,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"bảo hành 8-10 năm anh nhé, cố gắng cày quốc 8-10 năm mà vẫn túc tắc thì hơi yếu",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE1MjM5OTM4ODMyODcyMg,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE1MjM5OTM4ODMyODcyMg,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập Vinfast, thể hiện sự hoài nghi về độ bền xe điện.",,,neutral
6676,7587649349719510279_7588335219150783239,6929256661fe19430ca50d22,Vinfast,"Kiếp nạn xe Điện Vin Phét, VF3, Bạn có hối hận không ? #vinfast #vinfastvf3",Cẩu miễn phí mà tẹt ga đi😄😄😄 con xe có lỗi 1 vài tí thì bảo hành dăm bữa nửa tháng. Miễn sao mình được đi con xe thuộc vào tinh hoa của đất nước. Đẳng cấp của thế giới,,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODMzNTIxOTE1MDc4MzIzOQ,27/12/2025,Negative,Neutral,AI sai,memut1706,6769763228617884673,Tiktok,Taxi chạy bằng Xăng,quoctuan833866,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODMzNTIxOTE1MDc4MzIzOQ,6769763228617884673_7587649349719510279,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện cảm xúc tiêu cực về chất lượng xe.",,,neutral
6677,7587309728896683282_7588122544591684359,6929256661fe19430ca50d22,Vinfast,Xe điện khó chen chân vào thị trường Việt Nam bởi sự chi phối của Vinfast là quá mạnh #financex #tiktoknews,"Xe điện VF cứng cáp hơn, hậu mãi tốt hơn, trạm sạc khắp nơi",,https://www.tiktok.com/@financex2/video/7587309728896683282?cid=NzU4ODEyMjU0NDU5MTY4NDM1OQ,26/12/2025,Neutral,Positive,AI sai,financex2,6786563490809054209,Tiktok,HleoCoffee,dr_hugped_sell_coffee,https://www.tiktok.com/@financex2/video/7587309728896683282?cid=NzU4ODEyMjU0NDU5MTY4NDM1OQ,6786563490809054209_7587309728896683282,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và đánh giá khách quan về vị thế của hãng.,,,neutral
6678,7587649349719510279_7588867339275502344,6929256661fe19430ca50d22,Vinfast,"Kiếp nạn xe Điện Vin Phét, VF3, Bạn có hối hận không ? #vinfast #vinfastvf3",ủ được cứu hộ miễn phí à 😳,,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODg2NzMzOTI3NTUwMjM0NA,28/12/2025,Negative,Neutral,AI sai,memut1706,6769763228617884673,Tiktok,Minh Đồng Tháp,leminh66c1,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODg2NzMzOTI3NTUwMjM0NA,6769763228617884673_7587649349719510279,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện cảm xúc tiêu cực về sản phẩm.,,,neutral
6684,7588358679427091730_7588569223773963015,6929256661fe19430ca50d22,Vinfast,Ngã ngửa với hóa đơn 10 năm 'nuôi' ô tô: Vì sao xe điện không rẻ như nhiều người tưởng? #tiktoknews #taichinhkinhte #giabac #chuyendoixanh #xedien #tieudung,Cái này Vin nó đã bảo hành 10 năm rồi 🤣🤣🤣 bọn hãng khác có làm đc ko,"Xe Máy Điện Vinfast,sửa xe ô tô cũ",https://www.tiktok.com/@kienthuckinhte28/video/7588358679427091730?cid=NzU4ODU2OTIyMzc3Mzk2MzAxNQ,27/12/2025,Positive,Neutral,AI sai,kienthuckinhte28,7039623152608216066,Tiktok,quyarsenal_93,quyarsenal_93,https://www.tiktok.com/@kienthuckinhte28/video/7588358679427091730?cid=NzU4ODU2OTIyMzc3Mzk2MzAxNQ,7039623152608216066_7588358679427091730,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast với cảm xúc tích cực, hài hước về chính sách bảo hành.",,,neutral
